Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P31383	2AAA_YEAST	Protein phosphatase PP2A regulatory subunit A (PR65)	635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	Phosphatase 2A regulatory subunit A family						Chain (1); Repeat (15); Sequence conflict (4)				
P47129	ACF4_YEAST	Assembly-complementing factor 4	309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X							Chain (1); Modified residue (6)				
P52892	ALAT_YEAST	Probable alanine aminotransferase (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Class-I pyridoxal-phosphate-dependent aminotransferase family, Alanine aminotransferase subfamily			PATHWAY: Amino-acid degradation; L-alanine degradation via transaminase pathway; pyruvate from L-alanine: step 1/1.			Chain (1); Modified residue (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P16474	BIP_YEAST	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein homolog) (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Heat shock protein 70 family						Beta strand (24); Binding site (1); Chain (1); Helix (20); Motif (1); Nucleotide binding (4); Region (2); Signal peptide (1); Turn (7)	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:2661018}.			
Q99177	BRR1_YEAST	Pre-mRNA-splicing factor BRR1 (Bad response to refrigeration protein 1)	341	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	BRR1 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P53755	BSC5_YEAST	Bypass of stop codon protein 5	489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	BUL1 family						Chain (1); Modified residue (2); Sequence conflict (1)				
P36106	BYE1_YEAST	Transcription factor BYE1 (Bypass of ESS1 protein 1)	594	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	BYE1 family						Beta strand (1); Chain (1); Domain (1); Helix (8); Modified residue (1); Turn (1); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00651}.			
P03874	CBP2_YEAST	Cytochrome B pre-mRNA-processing protein 2	630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII							Chain (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Mitochondrion.			
P11433	CDC24_YEAST	Cell division control protein 24 (Calcium regulatory protein)	854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I							Beta strand (5); Chain (1); Compositional bias (2); Domain (4); Helix (2); Turn (2)				
Q3E835	CENPS_YEAST	Inner kinetochore subunit MHF1 (CENP-S homolog) (Constitutive centromere-associated network protein MHF1) (MHF histone-fold complex subunit 1) (MPH1-associated histone-fold protein 1)	90	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	TAF9 family, CENP-S/MHF1 subfamily						Beta strand (1); Chain (1); Helix (4); Mutagenesis (3); Turn (1)				
